row,status,top1_name,expected_name,hit
1,success,项目1,项目1,1
2,success,项目2,项目2,1
3,success,项目3,项目3,1
4,success,项目4,项目4,1
5,success,项目5,项目5,1
6,success,项目26,项目6,0
7,success,项目7,项目7,1
8,success,项目8,项目8,1
9,success,项目9,项目9,1
10,success,项目10,项目10,1
11,success,项目11,项目11,1
12,success,项目12,项目12,1
13,success,项目13,项目13,1
14,success,项目14,项目14,1
15,success,项目84,项目15,0
16,success,项目63,项目16,0
17,success,项目17,项目17,1
18,success,项目18,项目18,1
19,success,项目19,项目19,1
20,success,项目53,项目20,0
21,success,项目21,项目21,1
22,success,项目22,项目22,1
23,success,项目16,项目23,0
24,success,项目24,项目24,1
25,success,项目25,项目25,1
26,success,项目26,项目26,1
27,success,项目27,项目27,1
28,success,项目28,项目28,1
29,success,项目29,项目29,1
30,success,项目30,项目30,1
31,success,项目31,项目31,1
32,success,项目100,项目32,0
33,success,demand_F:\1\Software_trading_system\demand_document\我需要APP开发1,项目33,0
34,success,项目34,项目34,1
35,success,项目95,项目35,0
36,success,项目36,项目36,1
37,success,项目37,项目37,1
38,success,项目38,项目38,1
39,success,项目39,项目39,1
40,success,项目40,项目40,1
41,success,项目41,项目41,1
42,success,项目42,项目42,1
43,success,项目43,项目43,1
44,success,项目44,项目44,1
45,success,项目45,项目45,1
46,success,项目46,项目46,1
47,success,项目47,项目47,1
48,success,项目48,项目48,1
49,success,项目49,项目49,1
50,success,项目50,项目50,1
51,success,项目51,项目51,1
52,success,项目52,项目52,1
53,success,项目53,项目53,1
54,success,项目54,项目54,1
55,success,项目55,项目55,1
56,success,项目56,项目56,1
57,success,项目63,项目57,0
58,success,项目58,项目58,1
59,success,项目59,项目59,1
60,success,项目60,项目60,1
61,success,项目61,项目61,1
62,success,项目62,项目62,1
63,success,项目63,项目63,1
64,success,项目64,项目64,1
65,success,项目65,项目65,1
66,success,项目66,项目66,1
67,success,项目67,项目67,1
68,success,项目68,项目68,1
69,success,项目69,项目69,1
70,success,项目70,项目70,1
71,success,项目71,项目71,1
72,success,项目87,项目72,0
73,success,项目73,项目73,1
74,success,项目74,项目74,1
75,success,项目75,项目75,1
76,success,项目76,项目76,1
77,success,项目77,项目77,1
78,success,项目78,项目78,1
79,success,项目79,项目79,1
80,success,项目80,项目80,1
81,success,项目81,项目81,1
82,success,项目82,项目82,1
83,success,项目83,项目83,1
84,success,项目84,项目84,1
85,success,项目85,项目85,1
86,success,项目86,项目86,1
87,success,项目87,项目87,1
88,success,项目88,项目88,1
89,success,项目89,项目89,1
90,success,项目90,项目90,1
91,success,项目91,项目91,1
92,success,项目84,项目92,0
93,success,项目93,项目93,1
94,success,项目94,项目94,1
95,success,项目95,项目95,1
96,success,项目84,项目96,0
97,success,项目19,项目97,0
98,success,项目98,项目98,1
99,success,项目99,项目99,1
100,success,项目100,项目100,1
